storeid,year,month,week,day,sales
125604,2016,5,21,20160621,19774.99
125604,2016,5,21,20160622,20515.04
125604,2016,5,21,20160623,19874.92
125604,2016,5,21,20160624,34326.2
125604,2016,5,21,20160625,42354.86
125604,2016,6,22,20160626,30618.5
125604,2016,6,22,20160627,16704.01
125604,2016,6,22,20160628,17222.42
125604,2016,6,22,20160629,21260.68
125604,2016,6,22,20160630,19367.36
125604,2016,6,22,20160701,25560.48
125604,2016,6,22,20160702,40391.73
125604,2016,6,23,20160703,28894.34
125604,2016,6,23,20160704,19208.1
125604,2016,6,23,20160705,17842.36
125604,2016,6,23,20160706,20305.24
125604,2016,6,23,20160707,20410.24
125604,2016,6,23,20160708,29464.18
125604,2016,6,23,20160709,45482.18
125604,2016,6,24,20160710,32543.2
125604,2016,6,24,20160711,20630.62
125604,2016,6,24,20160712,17686.32
125604,2016,6,24,20160713,18171.06
125604,2016,6,24,20160714,23492.78
125604,2016,6,24,20160715,31421.66
125604,2016,6,24,20160716,44930.36
125604,2016,6,25,20160717,31152.6
125604,2016,6,25,20160718,19880.1
125604,2016,6,25,20160719,18172.77
125604,2016,6,25,20160720,17154.77
125604,2016,6,25,20160721,21894.73
125604,2016,6,25,20160722,24109.2
125604,2016,6,25,20160723,38960.46
125604,2016,6,26,20160724,25429.79
125604,2016,6,26,20160725,19660.13
125604,2016,6,26,20160726,19149.26
125604,2016,6,26,20160727,21590.04
125604,2016,6,26,20160728,23053.36
125604,2016,6,26,20160729,25949.23
125604,2016,6,26,20160730,40079.9
125604,2016,7,27,20160731,29784.98
125604,2016,7,27,20160801,17595.41
125604,2016,7,27,20160802,18608.6
125604,2016,7,27,20160803,15746.5
125604,2016,7,27,20160804,25572.39
125604,2016,7,27,20160805,25757.2
125604,2016,7,27,20160806,39443.26
125604,2016,7,28,20160807,30861.49
125604,2016,7,28,20160808,20030.46
125604,2016,7,28,20160809,19719.35
125604,2016,7,28,20160810,20523.1
125604,2016,7,28,20160811,23766.73
125604,2016,7,28,20160812,29134.72
125604,2016,7,28,20160813,40810.81
125604,2016,7,29,20160814,32526.14
125604,2016,7,29,20160815,16454.13
125604,2016,7,29,20160816,14055.83
125604,2016,7,29,20160817,17318.67
125604,2016,7,29,20160818,21345.57
125604,2016,7,29,20160819,32730.42
125604,2016,7,29,20160820,43181.12
125604,2016,7,30,20160821,32315.14
125604,2016,7,30,20160822,14048.33
125604,2016,7,30,20160823,17533.96
125604,2016,7,30,20160824,14476.46
125604,2016,7,30,20160825,20471.43
125604,2016,7,30,20160826,27734.34
125604,2016,7,30,20160827,46431.67
125604,2016,8,31,20160828,29631.1
125604,2016,8,31,20160829,17697.06
125604,2016,8,31,20160830,21089.76
125604,2016,8,31,20160831,14539.86
125604,2016,8,31,20160901,19568.45
