storeid,year,month,week,day,sales
5805,2017,1,1,20170201,9930.52
5805,2017,1,1,20170202,7572.54
5805,2017,1,1,20170203,13737.42
5805,2017,1,1,20170204,26861.57
5805,2017,1,2,20170205,11258.3
5805,2017,1,2,20170206,6636.58
5805,2017,1,2,20170207,4666.96
5805,2017,1,2,20170208,9399.11
5805,2017,1,2,20170209,8759.23
5805,2017,1,2,20170210,15637.97
5805,2017,1,2,20170211,27066.05
5805,2017,1,3,20170212,16209.84
5805,2017,1,3,20170213,9165.31
5805,2017,1,3,20170214,8874.57
5805,2017,1,3,20170215,7827.47
5805,2017,1,3,20170216,12820.26
5805,2017,1,3,20170217,13546.24
5805,2017,1,3,20170218,29758.75
5805,2017,1,4,20170219,17136.67
5805,2017,1,4,20170220,14293.01
5805,2017,1,4,20170221,5629.78
5805,2017,1,4,20170222,9620.02
5805,2017,1,4,20170223,17222.6
5805,2017,1,4,20170224,23768.72
5805,2017,1,4,20170225,35002.49
5805,2017,2,5,20170226,22223.12
5805,2017,2,5,20170227,8665.56
5805,2017,2,5,20170228,8989.88
5805,2017,2,5,20170301,12371.75
5805,2017,2,5,20170302,10943.76
5805,2017,2,5,20170303,18406.28
5805,2017,2,5,20170304,32683.11
5805,2017,2,6,20170305,20273.24
5805,2017,2,6,20170306,8051.14
5805,2017,2,6,20170307,7559.14
5805,2017,2,6,20170308,9325.8
5805,2017,2,6,20170309,12604.04
5805,2017,2,6,20170310,16219.12
5805,2017,2,6,20170311,31697.45
5805,2017,2,7,20170312,20982.87
5805,2017,2,7,20170313,9353.87
5805,2017,2,7,20170314,9977.22
5805,2017,2,7,20170315,8464.43
5805,2017,2,7,20170316,11244.79
5805,2017,2,7,20170317,17347.96
5805,2017,2,7,20170318,28633.73
5805,2017,2,8,20170319,18678.86
5805,2017,2,8,20170320,12246.9
5805,2017,2,8,20170321,10479.88
5805,2017,2,8,20170322,10106.52
5805,2017,2,8,20170323,11256.77
5805,2017,2,8,20170324,19379.34
5805,2017,2,8,20170325,29668.87
5805,2017,3,9,20170326,17344.39
5805,2017,3,9,20170327,10011.57
5805,2017,3,9,20170328,11571.07
5805,2017,3,9,20170329,8960.65
5805,2017,3,9,20170330,10526.51
5805,2017,3,9,20170331,15613.34
5805,2017,3,9,20170401,27506.36
5805,2017,3,10,20170402,18134.78
5805,2017,3,10,20170403,9475.2
5805,2017,3,10,20170404,12292.63
5805,2017,3,10,20170405,8586.97
5805,2017,3,10,20170406,10794.36
5805,2017,3,10,20170407,21981.94
5805,2017,3,10,20170408,34202.65
5805,2017,3,11,20170409,31487.37
5805,2017,3,11,20170410,11430.58
5805,2017,3,11,20170411,12532.8
5805,2017,3,11,20170412,13451.65
5805,2017,3,11,20170413,17575.63
5805,2017,3,11,20170414,30917
5805,2017,3,11,20170415,35237.75
5805,2017,3,12,20170416,13512.46
5805,2017,3,12,20170417,9607.79
5805,2017,3,12,20170418,10479.8
5805,2017,3,12,20170419,9570.73
5805,2017,3,12,20170420,11630.3
5805,2017,3,12,20170421,18704.34
5805,2017,3,12,20170422,25777.28
5805,2017,3,13,20170423,14514.19
5805,2017,3,13,20170424,7000.67
5805,2017,3,13,20170425,8336.06
5805,2017,3,13,20170426,8842.5
5805,2017,3,13,20170427,10073.38
5805,2017,3,13,20170428,21345.82
5805,2017,3,13,20170429,22781.83
5805,2017,4,14,20170430,17216.31
